case,kind,indicator,snr_db,Px_ref,sigma,mc_id,t_first_any,t_valid,delay,premature_alarm,seed,indicator_name
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,6,6.732524999987644,6.732524999987644,1.3667547912004165,False,20760308,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,7,6.782524999987528,6.782524999987528,1.4167547912003,False,20760309,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,8,6.732524999987644,6.732524999987644,1.3667547912004165,False,20760310,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,9,6.722524999987668,6.722524999987668,1.3567547912004398,False,20760311,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,10,6.742524999987621,6.742524999987621,1.3767547912003932,False,20760312,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,11,6.732524999987644,6.732524999987644,1.3667547912004165,False,20760313,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,12,6.772524999987551,6.772524999987551,1.4067547912003233,False,20760314,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,13,6.772524999987551,6.772524999987551,1.4067547912003233,False,20760315,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,14,6.722524999987668,6.722524999987668,1.3567547912004398,False,20760316,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,15,6.742524999987621,6.742524999987621,1.3767547912003932,False,20760317,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,16,6.752524999987598,6.752524999987598,1.38675479120037,False,20760318,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,17,6.732524999987644,6.732524999987644,1.3667547912004165,False,20760319,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,18,6.732524999987644,6.732524999987644,1.3667547912004165,False,20760320,MaxEnt_SPRT
